               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.049434,            0.014135,            0.029581,             0.72643,                   1,               0.995,             0.39431,            0.031533,           0.0066818,            0.014231,           0.0074656,           0.0074656,           0.0074656
                  66,            0.062286,            0.013447,            0.028852,             0.72643,                   1,               0.995,             0.39431,            0.031533,           0.0066818,            0.014231,            0.007426,            0.007426,            0.007426
                  67,            0.056995,            0.015739,            0.027524,               0.909,                   1,               0.995,             0.33773,            0.029194,            0.006394,            0.013954,           0.0073864,           0.0073864,           0.0073864
                  68,             0.05176,            0.015402,            0.028327,               0.909,                   1,               0.995,             0.33773,            0.029194,            0.006394,            0.013954,           0.0073468,           0.0073468,           0.0073468
                  69,            0.053633,            0.014622,            0.027184,             0.66619,                0.75,                0.87,             0.17227,            0.045821,           0.0062731,            0.013033,           0.0073072,           0.0073072,           0.0073072
                  70,             0.05967,            0.013055,            0.028649,             0.66619,                0.75,                0.87,             0.17227,            0.045821,           0.0062731,            0.013033,           0.0072676,           0.0072676,           0.0072676
                  71,            0.058447,            0.012262,            0.027039,             0.71845,             0.83057,             0.91167,             0.64638,            0.035205,           0.0062083,            0.012482,            0.007228,            0.007228,            0.007228
                  72,             0.05139,            0.017582,            0.027551,             0.71845,             0.83057,             0.91167,             0.64638,            0.035205,           0.0062083,            0.012482,           0.0071884,           0.0071884,           0.0071884
                  73,            0.056418,            0.013052,            0.028136,             0.35734,                   1,              0.6965,             0.30573,            0.033224,           0.0065266,            0.011616,           0.0071488,           0.0071488,           0.0071488
                  74,            0.045969,            0.013712,            0.025635,             0.35734,                   1,              0.6965,             0.30573,            0.033224,           0.0065266,            0.011616,           0.0071092,           0.0071092,           0.0071092
